cveID,vendorProject,product,vulnerabilityName,dateAdded,dueDate,knownRansomwareCampaignUse,healthcare_relevance_score,internet_facing_score,ransomware_score,technical_impact_score,remediation_urgency_score,operational_impact_score,total_priority_score,priority_level
CVE-2026-1281,Ivanti,Endpoint Manager Mobile (EPMM),Ivanti Endpoint Manager Mobile (EPMM) Code Injection Vulnerability,2026-01-29,2026-02-01,Unknown,3,0,0,3,2,0,8,Moderate
CVE-2026-24858,Fortinet,Multiple Products,Fortinet Multiple Products Authentication Bypass Using an Alternate Path or Channel Vulnerability,2026-01-27,2026-01-30,Unknown,3,0,0,3,2,0,8,Moderate
CVE-2025-52691,SmarterTools,SmarterMail,SmarterTools SmarterMail Unrestricted Upload of File with Dangerous Type Vulnerability,2026-01-26,2026-02-16,Known,0,0,3,3,2,0,8,Moderate
CVE-2026-23760,SmarterTools,SmarterMail,SmarterTools SmarterMail Authentication Bypass Using an Alternate Path or Channel Vulnerability,2026-01-26,2026-02-16,Known,0,0,3,3,2,0,8,Moderate
CVE-2024-37079,Broadcom,VMware vCenter Server,Broadcom VMware vCenter Server Out-of-bounds Write Vulnerability,2026-01-23,2026-02-13,Unknown,3,0,0,3,2,0,8,Moderate
CVE-2026-42897,Microsoft,Microsoft,Microsoft Exchange Server Cross-Site Scripting Vulnerability,2026-05-15,2026-05-29,Unknown,3,2,0,0,2,0,7,Moderate
CVE-2026-0300,Palo Alto Networks,PAN-OS,Palo Alto Networks PAN-OS Out-of-bounds Write Vulnerability,2026-05-06,2026-05-09,Unknown,3,2,0,0,2,0,7,Moderate
CVE-2026-3055,Citrix,NetScaler,Citrix NetScaler Out-of-Bounds Read Vulnerability,2026-03-30,2026-04-02,Unknown,3,2,0,0,2,0,7,Moderate
CVE-2026-21525,Microsoft,Windows,Microsoft Windows NULL Pointer Dereference Vulnerability,2026-02-10,2026-03-03,Unknown,3,2,0,0,2,0,7,Moderate
CVE-2025-64328,Sangoma,FreePBX,Sangoma FreePBX OS Command Injection Vulnerability,2026-02-03,2026-02-24,Unknown,0,2,0,3,2,0,7,Moderate
CVE-2026-48558,SimpleHelp,SimpleHelp,SimpleHelp Authentication Bypass Vulnerability,2026-06-29,2026-07-02,Unknown,0,0,0,3,2,0,5,Moderate
CVE-2026-12569,PTC,Windchill and FlexPLM,PTC Windchill and FlexPLM Improper Input Validation Vulnerability,2026-06-25,2026-06-28,Known,0,0,3,0,2,0,5,Moderate
CVE-2026-20230,Cisco,Unified Communications Manager,Cisco Unified Communications Manager Server-Side Request Forgery (SSRF) Vulnerability,2026-06-25,2026-06-28,Unknown,3,0,0,0,2,0,5,Moderate
CVE-2026-34910,Ubiquiti,UniFi OS,Ubiquiti UniFi OS Improper Input Validation Vulnerability,2026-06-23,2026-06-26,Unknown,0,0,0,3,2,0,5,Moderate
CVE-2026-54420,LiteSpeed,cPanel Plugin,LiteSpeed cPanel Plugin UNIX Symbolic Link (Symlink) Following Vulnerability,2026-06-15,2026-06-18,Unknown,3,0,0,0,2,0,5,Moderate
CVE-2026-20262,Cisco,Catalyst SD-WAN Manager,Cisco Catalyst SD-WAN Manager Directory or Path Traversal Vulnerability,2026-06-15,2026-06-29,Unknown,3,0,0,0,2,0,5,Moderate
CVE-2026-11645,Google,Chromium V8,Google Chromium V8 Out-of-Bounds Read and Write Vulnerability,2026-06-09,2026-06-23,Unknown,3,0,0,0,2,0,5,Moderate
CVE-2026-20245,Cisco,Catalyst SD-WAN Manager,Cisco Catalyst SD-WAN Manager Improper Encoding or Escaping of Output Vulnerability,2026-06-09,2026-06-23,Unknown,3,0,0,0,2,0,5,Moderate
CVE-2026-42271,BerriAI,LiteLLM,BerriAI LiteLLM Command Injection Vulnerability,2026-06-08,2026-06-22,Unknown,0,0,0,3,2,0,5,Moderate
CVE-2026-45247,Mirasvit,Mirasvit Full Page Cache Warmer,Mirasvit Full Page Cache Warmer Deserialization of Untrusted Data Vulnerability,2026-06-03,2026-06-06,Unknown,0,0,0,3,2,0,5,Moderate
CVE-2025-48595,Android,Framework,Android Framework Integer Overflow Vulnerability,2026-06-02,2026-06-05,Unknown,0,0,0,3,2,0,5,Moderate
CVE-2024-21182,Oracle,WebLogic Server,Oracle WebLogic Server Unspecified Vulnerability,2026-06-01,2026-06-04,Unknown,3,0,0,0,2,0,5,Moderate
CVE-2026-48027,Nx,Nx Console,Nx Console Embedded Malicious Code Vulnerability,2026-05-27,2026-06-10,Known,0,0,3,0,2,0,5,Moderate
CVE-2026-45321,TanStack,TanStack,TanStack Unspecified Vulnerability,2026-05-27,2026-06-10,Known,0,0,3,0,2,0,5,Moderate
CVE-2026-48172,LiteSpeed,cPanel Plugin,LiteSpeed cPanel Plugin Privilege Escalation Vulnerability,2026-05-26,2026-05-29,Unknown,0,0,0,3,2,0,5,Moderate
CVE-2026-9082,Drupal,Core,Drupal Core SQL Injection Vulnerability,2026-05-22,2026-05-27,Unknown,0,0,0,3,2,0,5,Moderate
CVE-2008-4250,Microsoft,Windows,Microsoft Windows Buffer Overflow Vulnerability,2026-05-20,2026-06-03,Unknown,3,0,0,0,2,0,5,Moderate
CVE-2009-1537,Microsoft,DirectX,Microsoft DirectX NULL Byte Overwrite Vulnerability,2026-05-20,2026-06-03,Unknown,3,0,0,0,2,0,5,Moderate
CVE-2009-3459,Adobe,Acrobat and Reader,Adobe Acrobat and Reader Heap-Based Buffer Overflow Vulnerability,2026-05-20,2026-06-03,Unknown,3,0,0,0,2,0,5,Moderate
CVE-2010-0249,Microsoft,Internet Explorer,Microsoft Internet Explorer Use-After-Free Vulnerability,2026-05-20,2026-06-03,Unknown,3,0,0,0,2,0,5,Moderate
CVE-2010-0806,Microsoft,Internet Explorer,Microsoft Internet Explorer Use-After-Free Vulnerability,2026-05-20,2026-06-03,Unknown,3,0,0,0,2,0,5,Moderate
